date,AEP,AMZN,CAT,JPM,XOM
7/26/2011,29.07210465,214.18,87.37576753,34.96565483,69.13471823
7/27/2011,29.06439321,222.518,84.16977454,34.31595516,68.26612986
7/28/2011,28.65568723,223.9,82.75780871,34.32439282,66.75019731
7/29/2011,28.42434422,222.52,82.0518258,34.13032668,65.38176091
8/1/2011,29.18777615,221.32,83.6548223,34.12188903,65.22607054
8/2/2011,28.6248415,211.7,80.71461111,33.61562954,63.78388607
8/3/2011,28.6248415,209.96,79.96709979,33.66625549,63.68555531
8/4/2011,27.78429524,201.48,74.37737626,31.9955992,60.50619408
8/5/2011,27.94623534,202.7,75.57339437,31.72559415,61.30922862
8/8/2011,26.50419726,193.7,68.60492774,28.73866321,57.51530014
8/9/2011,27.40304205,205.09,72.65810022,30.71307519,58.70346349
8/10/2011,26.78557476,194.13,69.36074474,29.00023061,56.13047528
8/11/2011,27.95798101,198.36,72.46706955,30.95776727,59.05952404
8/12/2011,27.95016497,202.3,74.59332397,30.29962994,59.40605938
8/15/2011,29.30234017,202.95,75.88901026,31.11808277,61.29550211
8/16/2011,29.06785892,197.68,74.21126263,30.40088184,60.64368562
8/17/2011,29.56808559,195.93,72.79099113,30.85651537,61.18824117
8/18/2011,29.12257122,182.52,69.21124247,29.69211857,58.53147018
8/19/2011,28.96625038,178.93,66.42053355,28.98335529,57.59087424
8/22/2011,28.9506183,177.54,66.3540881,28.19021544,57.90440622
8/23/2011,29.34142038,193.55,68.92054363,29.34617459,60.77569909
8/24/2011,29.86509517,193.73,70.93051851,30.23212868,60.67668899
8/25/2011,29.38050059,192.03,69.14479702,30.13931444,59.21629003
8/26/2011,29.35705246,199.27,70.73118216,30.55275968,59.93411324
8/29/2011,29.89635934,206.53,73.21458087,31.75934478,61.1552378
8/30/2011,30.05268017,210.92,74.60993534,31.26996062,60.98197013
8/31/2011,30.19336892,215.23,75.58170005,31.69184352,61.07272938
9/1/2011,29.99015184,212.54,73.54680813,30.62869861,60.63543478
9/2/2011,29.68532621,210,70.91390715,29.21960972,59.52157117
9/6/2011,29.80256684,216.18,71.17968895,28.21552841,58.70473785
9/7/2011,29.8885433,219.9,73.66308766,29.37992522,60.76744824
9/8/2011,29.45866101,217.26,72.29265025,28.27459202,60.08262839
9/9/2011,28.7630333,211.39,69.7345004,27.06800692,58.58922607
9/12/2011,29.01314663,216.56,69.65974927,27.35488729,59.27404592
9/13/2011,29.02096267,219.53,70.61490262,27.4139509,59.11727993
9/14/2011,29.27889205,222.57,70.97204692,27.6755183,59.93411324
9/15/2011,29.4195808,226.78,71.92720027,28.52772176,61.06447854
9/16/2011,29.3257883,239.3,71.34580258,28.20709075,61.51002399
9/19/2011,29.33360434,241.69,70.266064,27.4139509,60.80870245
9/20/2011,29.94325559,233.25,69.48532996,27.21144711,61.06447854
9/21/2011,29.27107601,231.87,65.91388699,25.59985443,59.38130686
9/22/2011,28.98188247,223.23,61.37898499,24.69702502,57.12882711
9/23/2011,29.27107601,223.61,61.34576226,24.96703008,57.186583
9/26/2011,29.52118934,229.85,63.82916098,26.70518763,59.17503582
9/27/2011,29.62279788,224.21,64.51022685,26.63768636,60.15688597
9/28/2011,29.46647705,229.71,62.35905538,25.70954398,59.46381527
9/29/2011,30.06831226,222.44,62.6165315,26.48580852,60.9572176
9/30/2011,29.71659038,216.23,61.3291509,25.41422595,59.9258624
10/3/2011,29.03659476,211.98,58.59658174,24.17389022,58.70473785
10/4/2011,28.65360872,212.5,60.24941233,25.74329461,60.09087924
10/5/2011,28.9506183,219.498,61.67798951,26.23672194,61.01497349
10/6/2011,29.40394871,221.51,64.02849733,27.54685656,60.96546844
10/7/2011,29.49774121,224.74,62.72450536,26.11761879,60.69319067
10/10/2011,30.15428871,231.32,65.72285632,27.47879762,62.93741958
10/11/2011,29.93543955,235.48,66.99362556,27.47879762,62.92916874
10/12/2011,29.86509517,236.81,67.85741642,28.24446071,63.66349364
10/13/2011,29.94325559,236.15,67.6414687,26.88328188,63.01167715
10/14/2011,30.21681705,246.71,69.84247426,27.12999555,64.44732359
10/17/2011,29.94325559,242.33,67.70791416,26.40686929,63.91926973
10/18/2011,30.13865663,243.88,70.36573218,27.96371758,65.09088923
10/19/2011,30.06831226,231.53,69.40227315,27.43626078,64.71135052
10/20/2011,30.4512983,233.61,70.36573218,28.18490914,64.94237408
10/21/2011,30.58417101,234.78,72.97960284,28.4316228,66.11399359
10/24/2011,30.52164267,237.61,76.63735156,29.40997009,66.14699696
10/25/2011,30.20900101,227.15,75.06735896,28.49117438,65.54468552
10/26/2011,30.32624163,198.4,76.47033107,29.07818275,66.8895727
10/27/2011,31.02968538,206.78,80.39531257,31.1965173,67.55789087
10/28/2011,30.81083621,217.32,80.87967199,31.21353203,67.2278572
10/31/2011,30.70141163,213.51,78.88377714,29.57161007,64.43082191
11/1/2011,30.25589726,212.105,76.52043721,27.8275997,62.65689097
11/2/2011,30.75612392,215.62,78.44952387,28.61878489,63.83676131
11/3/2011,31.16255809,218.29,80.16983491,29.2483301,65.06613671
11/4/2011,31.02968538,216.48,79.95270827,28.89952802,64.78560809
11/7/2011,31.07658163,217,79.33473246,29.12922695,65.47042795
11/8/2011,31.00623725,217.99,80.07797364,29.79280163,66.19650201
11/9/2011,30.39718617,211.22,76.52878824,27.68297445,64.22952972
11/10/2011,30.7214861,210.79,76.99644561,27.8531218,65.31675912
11/11/2011,31.2593494,217.39,80.27839822,28.31251965,66.16330416
11/14/2011,30.90341045,218.93,80.6124392,27.69148181,65.53254511
11/15/2011,31.02205676,217.83,81.06339452,27.81909233,65.64043811
11/16/2011,30.55538125,211.99,79.96105929,26.7726861,64.94328337
11/17/2011,30.31808862,204.52,78.34096055,25.93896407,64.61960439
11/18/2011,30.50001297,197.14,78.44117284,26.04955985,64.65280223
11/21/2011,30.0966155,189.25,76.09453496,25.44553674,63.83115558
11/22/2011,29.70112778,192.34,75.1508692,25.02016836,63.100803
11/23/2011,29.34518883,188.99,73.28859074,24.14390949,61.89738114
11/25/2011,29.42428637,182.399,72.4200842,24.22898317,61.33301778
11/28/2011,29.89096188,194.15,76.39517185,24.80748417,62.94311324
11/29/2011,30.26272034,188.39,75.61017555,24.29704211,63.8477545
11/30/2011,31.38590547,192.29,81.73982751,26.34731772,66.76086536
12/1/2011,31.33844694,197.13,80.85461891,25.91344197,66.22140039
12/2/2011,31.04578603,196.03,80.41201462,27.50431972,66.22140039
12/5/2011,31.21980062,196.24,80.87967199,28.50818911,66.76916482
12/6/2011,31.43336399,191.99,80.13643081,28.26998282,67.07624489
12/7/2011,31.43336399,195.32,79.24287119,28.92505013,67.29203087
12/8/2011,31.07742504,190.48,77.59771937,27.41073868,66.28779608
12/9/2011,31.42545424,193.03,80.14478183,28.22744598,67.50781686
12/12/2011,31.10115431,189.52,77.86495215,27.25760606,66.43718638
12/13/2011,31.21189087,180.51,75.97762062,26.61955348,66.83556051
12/14/2011,30.62656904,180.21,72.65391288,26.80671557,65.93091925
12/15/2011,31.43336399,181.26,73.2384846,27.01939977,66.42058746
12/16/2011,31.37008596,181.26,72.82093337,27.12999555,66.52848045
12/19/2011,31.07742504,179.33,72.8626885,26.11761879,66.0056144
12/20/2011,31.59155908,182.52,76.60394746,27.40223131,68.0555813
12/21/2011,32.31134673,174.35,76.52043721,27.49581236,68.98512095
12/22/2011,32.72265396,179.03,76.67075565,28.4571449,69.9561579
12/23/2011,32.88084905,177.28,77.03820073,28.55923332,70.72800778
12/27/2011,32.94412708,176.27,76.45362902,28.09983546,70.77780455
12/28/2011,32.65146617,173.89,74.63310568,27.77655549,69.86486383
12/29/2011,32.85711978,173.86,75.64357964,28.4316228,70.76950509
12/30/2011,32.67519543,173.1,75.66028169,28.28699755,70.34623257
1/3/2012,32.2480687,179.03,78.48292796,29.75877216,71.37536575
1/4/2012,32.3508955,177.51,79.20946709,29.94593425,71.39196467
1/5/2012,32.39044427,177.61,79.76898573,30.57141442,71.17617869
1/6/2012,32.2638882,182.61,79.96941032,30.29723133,70.64501317
1/9/2012,32.41417354,178.56,81.0884476,30.245822,70.9603927
1/10/2012,32.63564666,179.34,83.4768406,30.88843862,71.14298084
1/11/2012,32.6119174,178.9,83.20960781,31.41110013,70.61181533
1/12/2012,32.70683445,175.93,85.13034344,31.57389634,70.32963365
1/13/2012,32.72265396,178.42,85.58129876,30.77705174,70.44582611
1/17/2012,32.77011249,181.66,86.32453994,29.91166136,71.11808246
1/18/2012,32.85711978,189.44,87.45192824,31.30828147,71.7488415
1/19/2012,32.50909059,194.45,88.70172081,31.64244211,72.23021025
1/20/2012,32.4379028,190.93,88.60945425,32.01087564,72.61198546
1/23/2012,32.27179796,186.09,89.22176872,32.26792228,72.59538654
1/24/2012,32.16897115,187,89.15466577,32.26792228,72.35470217
1/25/2012,32.73056371,187.8,91.46971777,32.21651295,72.38790001
1/26/2012,32.65146617,193.316,93.3653763,32.12226252,72.01442426
1/27/2012,31.59946883,195.37,93.34021269,31.88235232,71.23427491
1/30/2012,31.21189087,192.15,92.61046803,31.71098788,70.95209323
1/31/2012,31.29098841,194.44,91.52843286,31.95946631,69.49968754
2/1/2012,31.16443234,179.46,92.7027346,32.21651295,69.69057514
2/2/2012,31.29889817,181.72,92.54336508,32.17367185,69.32539885
